POST_TRANSACTION_ACCOUNT_BALANCES,AMOUNT,BOOKING_DATE,CURRENCY_CODE,EXTERNAL_ID,ID,PARENT_ACCOUNT_KEY,
"{
  ""total_balance"": 52.38
}",-5.7,2025-02-18 06:28:25.000 +0800,SGD,,14535759,8a8e8fcf94fba6ac01950220929a5f0c,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8eda9510404b01951606e2765bd0"",
  ""external_reference_id"": ""585048809000289-1739860104000""
}"
"{
  ""total_balance"": 25451.31
}",-3.86,2025-02-18 05:28:56.000 +0800,SGD,,14534582,8a8e8ec2907f3de601908057fd2a1919,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8fec95151e1f019515d06e9d08f3"",
  ""external_reference_id"": ""585048773348875-1739856535000""
}"
"{
  ""total_balance"": 174.07
}",-4.76,2025-02-18 06:21:30.000 +0800,SGD,,14535626,8a8e8f6c94f816010194fac11ea72f62,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8e3795156b57019516008d8110f9"",
  ""external_reference_id"": ""465048804895247-1739859689000""
}"
"{
  ""total_balance"": 114.16
}",-6.13,2025-02-18 05:39:32.000 +0800,SGD,,14534816,8a8e8fda94f111c10194f271fd9d2073,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8fec95151e1f019515da23f70b34"",
  ""external_reference_id"": ""305048779711931-1739857171000""
}"
"{
  ""total_balance"": 4980.06
}",-2.69,2025-02-18 06:14:14.000 +0800,SGD,,14535470,8a8e8fb594d7805a0194da1e2e5d0b54,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8edb9515561c019515f9e7e00f6c"",
  ""external_reference_id"": ""305048800536400-1739859253000""
}"
"{
  ""total_balance"": 24.41
}",-4.17,2025-02-18 07:02:56.000 +0800,SGD,,14536473,8a8e8ef894ebeb5f0194eedcc3c4122c,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8e3795156b57019516267ebe1985"",
  ""external_reference_id"": ""305048829756109-1739862175000""
}"
"{
  ""total_balance"": 11095.78
}",-4.58,2025-02-18 05:35:38.000 +0800,SGD,,14534739,8a8e8eb79079f29a01907b4f414c14d4,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8fec95151e1f019515d68eca0a80"",
  ""external_reference_id"": ""585048777360676-1739856936000""
}"
"{
  ""total_balance"": 5251.39
}",-1.77,2025-02-18 06:41:05.000 +0800,SGD,,14536045,8a8e8ea8906a978501906de2bab14b92,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8e3795156b57019516127ce11506"",
  ""external_reference_id"": ""385048816649710-1739860864000""
}"
"{
  ""total_balance"": 6776.76
}",-1.99,2025-02-18 05:29:02.000 +0800,SGD,,14534585,8a8e8e4b91054ab60191082254071316,"{
  ""card_acceptor"": {
    ""mcc"": 4131,
    ""name"": ""CAUSEWAYLINK-HQ"",
    ""street"": ""07-3522244 MY""
  },
  ""encoded_key"": ""8a8e8e3795156b57019515d0870b05b0"",
  ""external_reference_id"": ""385048773417408-1739856541000""
}"
"{
  ""total_balance"": 130.41
}",-4.51,2025-02-18 05:26:09.000 +0800,SGD,,14534510,8a8e8f7994ec37ec0194ee7a154b703f,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8e3795156b57019515cde30c04e8"",
  ""external_reference_id"": ""465048771682530-1739856368000""
}"
"{
  ""total_balance"": 20007.66
}",-1.98,2025-02-18 06:39:35.000 +0800,SGD,,14536009,8a8e8e01919fa1750191a40efc1c6edf,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8edb9515561c019516111af6150a"",
  ""external_reference_id"": ""385048815733479-1739860773000""
}"
"{
  ""total_balance"": 23.59
}",-2.69,2025-02-18 06:36:18.000 +0800,SGD,,14535941,8a8e8fb594d7805a0194d9a1532f5458,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8edb9515561c0195160e1c531458"",
  ""external_reference_id"": ""585048813776926-1739860577000""
}"
"{
  ""total_balance"": 10421.36
}",-0.68,2025-02-18 02:47:27.000 +0800,SGD,,14533903,8a8e8f6c8a62569e018a631433121ebb,"{
  ""card_acceptor"": {
    ""mcc"": 5814,
    ""name"": ""Grab* A-7HBRO3SWWFFJ"",
    ""street"": ""Singapore SG""
  },
  ""encoded_key"": ""8a8e8e0d950ff7be0195153c97fa43a1"",
  ""external_reference_id"": ""465048676469140-1739846846000""
}"
"{
  ""total_balance"": 185.64
}",-4.2,2025-02-18 05:55:31.000 +0800,SGD,,14535124,8a8e8e2991b96b450191bc3d0fb97f74,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8eda9510404b019515e8c644545c"",
  ""external_reference_id"": ""305048789309389-1739858130000""
}"
"{
  ""total_balance"": 29.37
}",-2.32,2025-02-18 05:50:27.000 +0800,SGD,,14535042,8a8e8f3f94ec23de0194eeb30bad0ca8,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8edb9515561c019515e4217c0ab9"",
  ""external_reference_id"": ""305048786250234-1739857826000""
}"
"{
  ""total_balance"": 268.8
}",-2.38,2025-02-18 07:22:10.000 +0800,SGD,,14536720,8a8e8ebb90bd0c1a0190bea656bd2546,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8e3795156b570195163817601cac"",
  ""external_reference_id"": ""465048841287530-1739863328000""
}"
"{
  ""total_balance"": 9170.76
}",-3.62,2025-02-18 06:10:46.000 +0800,SGD,,14535427,8a8e8ee194e727b50194eaf1c6307cda,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8e3795156b57019515f6bc6b0eac"",
  ""external_reference_id"": ""465048798455501-1739859045000""
}"
"{
  ""total_balance"": 20014.97
}",-2.69,2025-02-18 05:41:41.000 +0800,SGD,,14534865,8a8e8e92933b912f01933dc7e357473f,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8fc49515611a019515dc1b9d0a26"",
  ""external_reference_id"": ""465048781006559-1739857300000""
}"
"{
  ""total_balance"": 145.16
}",-6.27,2025-02-18 06:22:15.000 +0800,SGD,,14535642,8a8e8e9594d292430194d544d78e2369,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8edb9515561c019516013d1010fd"",
  ""external_reference_id"": ""585048805330311-1739859734000""
}"
"{
  ""total_balance"": 20159.88
}",-4.14,2025-02-18 06:05:44.000 +0800,SGD,,14535320,8a8e8e37924eb15b019252b0dddc5ab0,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8e3795156b57019515f21e8e0d74"",
  ""external_reference_id"": ""385048795424426-1739858743000""
}"
"{
  ""total_balance"": 53.93
}",-7.35,2025-02-18 06:12:07.000 +0800,SGD,,14535448,8a8e8ea090844b68019085952979120e,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8edb9515561c019515f7f57d0f1b"",
  ""external_reference_id"": ""585048799259391-1739859125000""
}"
"{
  ""total_balance"": 24821.62
}",-2.8,2025-02-18 05:38:47.000 +0800,SGD,,14534794,8a8e8f6290e116a70190e84d42204988,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8ff595154c29019515d97187091d"",
  ""external_reference_id"": ""385048779256244-1739857126000""
}"
"{
  ""total_balance"": 2097.88
}",-1,2025-02-18 02:45:17.000 +0800,SGD,,14533893,8a8e8f5c950b192501950df94a230a7f,"{
  ""card_acceptor"": {
    ""mcc"": 7399,
    ""name"": ""Grab*"",
    ""street"": ""Singapore SG""
  },
  ""encoded_key"": ""8a8e8f909510366d0195153a99dc41fe"",
  ""external_reference_id"": ""465048675154246-1739846715000""
}"
"{
  ""total_balance"": 5170.25
}",-4.6,2025-02-18 06:45:06.000 +0800,SGD,,14536133,8a8e8fa9910a3ec30191126d4da84809,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8fc49515611a019516162a9416db"",
  ""external_reference_id"": ""465048819036098-1739861105000""
}"
"{
  ""total_balance"": 1387.26
}",-3.74,2025-02-18 06:41:01.000 +0800,SGD,,14536044,8a8e8f6c94f1544f0194f58d54060bd7,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8e3795156b57019516126b7e14f7"",
  ""external_reference_id"": ""385048816586977-1739860859000""
}"
"{
  ""total_balance"": 234.14
}",-3.5,2025-02-18 05:42:05.000 +0800,SGD,,14534873,8a8e8ef88a37fde5018a39b012204087,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8e3795156b57019515dc76660890"",
  ""external_reference_id"": ""585048781238206-1739857323000""
}"
"{
  ""total_balance"": 973.22
}",-3.25,2025-02-18 05:13:38.000 +0800,SGD,,14534212,8a8e8e2394f15e540194f4a4a23f4eb4,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8e3795156b57019515c26b420228"",
  ""external_reference_id"": ""385048764167961-1739855617000""
}"
"{
  ""total_balance"": 957.9
}",-3.45,2025-02-18 07:24:18.000 +0800,SGD,,14536770,8a8e8e9394e1693c0194e30e5d0c161f,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8e3795156b570195163a0dcb1d66"",
  ""external_reference_id"": ""585048842557293-1739863457000""
}"
"{
  ""total_balance"": 1998.97
}",-1.19,2025-02-18 07:22:47.000 +0800,SGD,,14536741,8a8e8f909510366d0195125ff51172c2,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8eda9510404b01951638a8d866a6"",
  ""external_reference_id"": ""305048841630375-1739863365000""
}"
"{
  ""total_balance"": 34.47
}",-5.38,2025-02-18 05:23:15.000 +0800,SGD,,14534463,8a8e8e8794f80bb20194f9ccd3c47868,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8fec95151e1f019515cb394707cd"",
  ""external_reference_id"": ""305048769927277-1739856194000""
}"
"{
  ""total_balance"": 1112.5
}",-2.1,2025-02-18 06:14:31.000 +0800,SGD,,14535475,8a8e8f3b94e71d940194e9c9fdfa533a,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8ff595154c29019515fa291a102a"",
  ""external_reference_id"": ""465048800691874-1739859270000""
}"
"{
  ""total_balance"": 46.86
}",-20,2025-02-18 02:06:25.000 +0800,SGD,,14533783,8a8e8e1494f66ed90194f7e53a802757,"{
  ""card_acceptor"": {
    ""mcc"": 6012,
    ""name"": ""Revolut**3367*"",
    ""street"": ""Singapore SG""
  },
  ""encoded_key"": ""8a8e8e0d950ff7be0195151705e641e3"",
  ""external_reference_id"": ""465048651845276-1739844384000""
}"
"{
  ""total_balance"": 2357.55
}",-1.73,2025-02-18 06:34:39.000 +0800,SGD,,14535908,8a8e8ff3934b16eb01934d5cd1ca3ff6,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8edb9515561c0195160c98d013f9"",
  ""external_reference_id"": ""465048812775128-1739860478000""
}"
"{
  ""total_balance"": 783.29
}",-1.4,2025-02-18 06:42:59.000 +0800,SGD,,14536087,8a8e8eb692b5ab0a0192be86ed9438a8,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8ff595154c29019516143b3716a7"",
  ""external_reference_id"": ""305048817765194-1739860978000""
}"
"{
  ""total_balance"": 10447.42
}",-3.46,2025-02-18 06:43:03.000 +0800,SGD,,14536091,8a8e8e139239fda8019243179fa92a62,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8eda9510404b0195161449035f4d"",
  ""external_reference_id"": ""585048817809959-1739860982000""
}"
"{
  ""total_balance"": 21574.16
}",-1.81,2025-02-18 05:59:53.000 +0800,SGD,,14535220,8a8e8fe78a3e4efa018a426f76fd79ac,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8e3795156b57019515ecc2c80c65"",
  ""external_reference_id"": ""385048791915330-1739858392000""
}"
"{
  ""total_balance"": 39720.49
}",-1.19,2025-02-18 05:51:24.000 +0800,SGD,,14535055,8a8e8efa91fc57a00192031613be26bc,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8edb9515561c019515e4ff660af2"",
  ""external_reference_id"": ""305048786839843-1739857883000""
}"
"{
  ""total_balance"": 5883.35
}",-5.68,2025-02-18 06:45:26.000 +0800,SGD,,14536136,8a8e8e14906fcd6a01907704126c4837,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8edb9515561c0195161676781655"",
  ""external_reference_id"": ""465048819245969-1739861124000""
}"
"{
  ""total_balance"": 16.42
}",-2.02,2025-02-18 06:47:44.000 +0800,SGD,,14536178,8a8e8ec394d2a64e0194d59509293798,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8eda9510404b0195161893016017"",
  ""external_reference_id"": ""585048820639356-1739861263000""
}"
"{
  ""total_balance"": 230.92
}",-3.7,2025-02-18 06:18:02.000 +0800,SGD,,14535550,8a8e8f7994ec37ec0194ee09ec564823,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8edb9515561c019515fd628a1012"",
  ""external_reference_id"": ""385048802819387-1739859481000""
}"
"{
  ""total_balance"": 20001.74
}",-0.85,2025-02-18 07:37:44.000 +0800,SGD,,14537022,8a8e8ea8906a978501906d982f8e246f,"{
  ""card_acceptor"": {
    ""mcc"": 5411,
    ""name"": ""SHENGSIONG@2AMKDRIVE"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8fec95151e1f019516465b472349"",
  ""external_reference_id"": ""465048850631330-1739864263000""
}"
"{
  ""total_balance"": 6818.97
}",-4.28,2025-02-18 05:16:32.000 +0800,SGD,,14534288,8a8e8fdb9500bb960195031747c90dfe,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8fec95151e1f019515c5150a05b6"",
  ""external_reference_id"": ""465048765890071-1739855791000""
}"
"{
  ""total_balance"": 38.92
}",-2.38,2025-02-18 06:03:14.000 +0800,SGD,,14535276,8a8e8e7793a28a600193a55b7d923d2a,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8ff595154c29019515efd3780dd3"",
  ""external_reference_id"": ""385048793929042-1739858592000""
}"
"{
  ""total_balance"": 7401.77
}",-1.77,2025-02-18 06:29:00.000 +0800,SGD,,14535777,8a8e8ede94e1e2e30194e8b624383b18,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8ff595154c29019516076aab138d"",
  ""external_reference_id"": ""465048809383651-1739860138000""
}"
"{
  ""total_balance"": 20623.82
}",-7.57,2025-02-18 05:28:38.000 +0800,SGD,,14534569,8a8e8e1190d6aa1d0190dac38ec3216e,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8edb9515561c019515d0278a06c1"",
  ""external_reference_id"": ""305048773168162-1739856516000""
}"
"{
  ""total_balance"": 5.56
}",-1.4,2025-02-18 06:21:01.000 +0800,SGD,,14535617,8a8e8ea694dcc9eb0194de423a6b2ed5,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8fec95151e1f019516001b9713c5"",
  ""external_reference_id"": ""465048804589616-1739859659000""
}"
"{
  ""total_balance"": 1519.98
}",-1.77,2025-02-18 07:05:04.000 +0800,SGD,,14536515,8a8e8ef694ec19c60194eddde25e36c6,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8eda9510404b019516286fc0646c"",
  ""external_reference_id"": ""465048831022985-1739862302000""
}"
"{
  ""total_balance"": 21680.28
}",-3.04,2025-02-18 05:20:28.000 +0800,SGD,,14534384,8a8e8e609133a9010191359517083a5b,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8e3795156b57019515c8abef03cb"",
  ""external_reference_id"": ""385048768259194-1739856025000""
}"
"{
  ""total_balance"": 172.43
}",-3.86,2025-02-18 06:35:13.000 +0800,SGD,,14535921,8a8e8f6294d648a70194d71fd68c3705,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8e3795156b570195160d1e9b13cd"",
  ""external_reference_id"": ""385048813124316-1739860512000""
}"
"{
  ""total_balance"": 20235.81
}",-3.79,2025-02-18 06:19:45.000 +0800,SGD,,14535592,8a8e8f9d917b165f01917d37071b5115,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8eda9510404b019515fef45859cc"",
  ""external_reference_id"": ""465048803849696-1739859584000""
}"
"{
  ""total_balance"": 20008.24
}",-2.38,2025-02-18 07:02:46.000 +0800,SGD,,14536470,8a8e8f5b94dcabae0194de6d15a43a9c,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8edb9515561c01951626577019b3"",
  ""external_reference_id"": ""585048829653713-1739862165000""
}"
"{
  ""total_balance"": 22168.48
}",-1.5,2025-02-18 05:28:49.000 +0800,SGD,,14534577,8a8e8ec394d2a64e0194d5d740c74b3e,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8fc49515611a019515d0526806dc"",
  ""external_reference_id"": ""385048773270469-1739856528000""
}"
"{
  ""total_balance"": 1417.45
}",-5.58,2025-02-18 07:21:56.000 +0800,SGD,,14536714,8a8e8e8792257c0501922951301b0589,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8ff595154c2901951637e31d1e6d"",
  ""external_reference_id"": ""385048841141649-1739863315000""
}"
"{
  ""total_balance"": 0.53
}",-2.38,2025-02-18 07:33:04.000 +0800,SGD,,14536982,8a8e8e1494f66ed90194fa26a38937db,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8fc49515611a01951642134b2080"",
  ""external_reference_id"": ""585048847822531-1739863982000""
}"
"{
  ""total_balance"": 39.61
}",-5.6,2025-02-18 06:32:29.000 +0800,SGD,,14535851,8a8e8e6894bdd2360194c0988f8e7c49,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8edb9515561c0195160a9c1c136b"",
  ""external_reference_id"": ""465048811475696-1739860347000""
}"
"{
  ""total_balance"": 1008.32
}",-3.46,2025-02-18 05:20:14.000 +0800,SGD,,14534372,8a8e8e2394f15e540194f3f6f3fc202d,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8e3795156b57019515c87521039e"",
  ""external_reference_id"": ""305048768128437-1739856012000""
}"
